SchCode,RD_ACHV_MATH_PROF_0607_GR8
1108,82
3104,43
4115,14
6104,65
7115,34
7123,40
7129,58
8115,35
8116,58
9103,81
10109,42
10122,50
15101,75
16111,39
17117,67
18101,86
19114,69
20103,68
21106,51
22101,91
23105,73
23112,70
23601,78
24111,42
24112,45
25108,61
26103,18
26106,36
26107,45
27112,76
28137,20
28144,19
28145,45
28146,17
28147,15
28167,10
28170,47
28172,26
28182,25
28601,18
28602,22
28702, 
30105,73
31109,55
32110,74
32114,69
33110,59
35118,49
35120,41
35139,60
36103,61
38107,52
39115,20
96112,53
97105,66
98103,60
98108,0
99101,64
