schcode,4YrcohortN08,4YrcGradrate08,4YrcDroprate08,4YrcGEDrate08,4YrcRetrate08
01106,235,95.7,2.1,1.7,0.4
03109,225,76.4,12.4,4.0,7.1
04108,297,52.2,30.0,2.4,15.5
06119,458,82.8,11.4,2.2,3.7
07113,350,83.4,5.1,8.3,3.1
07126,441,88.9,7.3,0.7,3.2
07135,103,56.3,19.4,5.8,18.4
07702,182,3.8,56.6,24.7,14.8
08114,386,81.6,9.3,1.6,7.5
09106,195,94.4,1.5,1.5,2.6
10112,530,76.8,17.5,1.1,4.5
16112,206,78.6,6.3,8.7,6.3
17110,306,83.7,12.1,2.3,2.0
17701,185,67.6,14.6,3.2,14.6
19111,152,84.2,5.9,3.9,5.9
20104,113,95.6,2.7,0.9,0.9
21111,186,66.7,21.5,3.2,8.6
22101,15,100.0,0.0,0.0,0.0
23108,373,89.3,5.9,2.1,2.7
24105,285,88.8,4.6,1.1,5.6
25108,124,89.5,1.6,6.5,2.4
26105,366,58.2,24.3,9.0,8.5
26118,323,57.0,26.6,1.9,14.6
26602,28,67.9,7.1,3.6,21.4
27106,283,86.6,4.6,6.0,2.8
28111,29,48.3,31.0,0.0,20.7
28113,29,0.0,62.1,0.0,37.9
28139,439,62.9,29.4,1.4,6.4
28150,497,63.2,21.9,1.6,13.3
28164,272,93.8,4.0,1.1,1.1
28170,30,100.0,0.0,0.0,0.0
28178,49,100.0,0.0,0.0,0.0
28179,105,56.2,26.7,3.8,13.3
28186,20,0.0,95.0,5.0,0.0
28187,105,60.0,29.5,2.9,7.6
28188,143,72.7,21.7,2.8,2.8
28189,156,69.9,24.4,0.0,5.8
28192,14,0.0,78.6,14.3,7.1
28603,148,48.6,39.2,2.7,9.5
28604,133,53.4,32.3,2.3,12.0
28605,126,50.8,38.1,4.0,7.1
28703,197,74.1,12.7,2.0,11.2
30104,164,84.1,8.5,3.7,3.7
31107,213,88.7,5.6,1.4,4.2
32108,302,87.7,7.3,2.0,3.0
33108,198,82.8,9.1,5.1,3.0
35130,324,70.4,12.3,4.9,12.3
35134,338,71.3,13.6,4.4,10.7
35138,303,77.2,12.9,3.0,6.9
36104,287,89.2,5.2,1.7,3.8
38106,294,68.4,19.0,3.7,8.8
39123,485,60.2,27.6,3.3,8.9
39601,50,60.0,32.0,6.0,2.0
96107,307,80.5,10.4,2.0,7.2
97106,193,87.6,5.2,2.6,4.7
98101,299,86.0,9.4,0.7,4.0
98108,11,36.4,36.4,18.2,9.1
99102,261,87.0,7.7,2.7,2.7
